pos,type,correct,response,rt,ori
300,square,True,m,4.441713934999825,
300,square,True,m,6.609664364000309,
-300,square,True,z,9.08437773300011,
-300,square,True,z,11.022367964000296,
-300,gabor,True,m,13.141643996999846,229.83018998763856
300,gabor,True,z,15.347262039999805,59.530667305915074
300,square,True,m,17.47950383999978,
300,square,True,m,19.815780392000306,
300,square,True,m,21.770768127999872,
-300,square,True,z,23.882709333000093,
300,gabor,True,z,25.939661694999813,276.3471137276709
-300,square,True,z,28.063434085000154,
-300,square,True,z,30.06446228599998,
-300,square,True,z,31.957374593000168,
300,gabor,True,z,34.31231337000008,315.90051516559447
300,square,True,m,36.34223136699984,
-300,gabor,True,m,38.54150866500004,222.967832856074
-300,square,True,z,40.77521587299998,
-300,square,True,z,42.78294155200001,
300,gabor,True,z,44.961804039000526,316.5749721160324
-300,square,True,z,47.15488186899984,
300,gabor,True,z,49.21100361000026,322.48422205023195
-300,square,True,z,51.31915007600037,
300,square,True,m,53.40339015400059,
-300,gabor,True,m,55.71291188899977,197.31296131375004
300,gabor,True,z,58.51037323200035,43.710026693499756
-300,gabor,True,m,60.4781244880005,353.48376845987366
-300,gabor,True,m,62.44101169900023,161.78865828610483
300,square,True,m,65.08686740800022,
300,gabor,True,z,67.36688816100013,186.25937050357612
-300,gabor,True,m,69.32476161100021,355.79757500903185
-300,gabor,True,m,71.38168970900006,91.48171345821022
300,square,True,m,73.44850129000042,
-300,square,True,z,75.6625508699999,
-300,gabor,True,m,77.84564210999997,72.2011769520026
300,square,True,m,79.93161246799991,
300,square,True,m,81.9243661370001,
-300,square,True,z,84.06345372099986,
-300,square,True,z,86.00006138000026,
300,gabor,True,z,88.24399226900005,56.75459634095128
300,gabor,True,z,90.38147502500033,268.2616729061577
-300,gabor,True,m,93.46771694800009,60.09493284119665
300,square,True,m,95.7808136220001,
-300,square,True,z,97.91960498000026,
300,gabor,True,z,100.31438050999986,51.534400126889665
300,square,True,m,103.01368610500049,
300,gabor,True,z,105.18950232299994,207.3909512576968
-300,square,True,z,107.28229657999964,
300,gabor,True,z,109.31683932900069,263.2428157619283
-300,gabor,True,m,111.4529736100003,164.4854791089137
300,gabor,True,z,113.52293131699935,274.1861476431019
300,square,True,m,115.79124459000104,
-300,square,True,z,118.04867339099928,
-300,square,True,z,120.27563807299975,
-300,square,True,z,122.38949234899974,
-300,gabor,True,m,124.56346175099952,321.1784286988112
-300,gabor,True,m,126.94176426600006,21.57337122939019
-300,square,True,z,128.98352310599967,
300,square,True,m,131.00118827700044,
300,gabor,True,z,133.26153369300027,14.49716888423013
-300,gabor,True,m,135.36662279900065,102.61625432809402
-300,square,True,z,137.42143037200094,
-300,gabor,True,m,139.69075355900077,213.99532793175644
-300,square,True,z,141.7836953169999,
300,square,True,m,144.05098159499994,
300,square,True,m,146.03789236600005,
300,gabor,True,z,148.07828475000042,210.5801017407969
-300,square,True,z,150.94377145499948,
-300,gabor,True,m,152.9384958670007,359.231121375378
300,gabor,True,z,155.05519893099972,113.49472781461613
300,gabor,True,z,157.07827462300065,179.57768546854595
-300,gabor,True,m,159.07997421299933,174.12477086651805
300,gabor,True,z,161.265806669001,343.1928105805513
-300,square,True,z,163.24692566400063,
300,square,True,m,165.62004760900072,
-300,gabor,True,m,167.69459302000087,91.52194387771684
300,gabor,True,z,169.82961552399956,330.45005609322146
-300,gabor,True,m,171.83653914499973,112.85577181140764
-300,square,True,z,173.94641114100068,
300,square,True,m,176.19221580700014,
300,gabor,True,z,178.23816507799984,307.9219249252261
-300,square,True,z,180.40812810899934,
-300,square,True,z,182.38689315200008,
-300,gabor,True,m,184.49188074500034,94.94807480729264
300,square,True,m,186.6272316200002,
-300,gabor,True,m,188.67758462999973,349.4392429629341
300,square,True,m,190.7119620580006,
300,gabor,False,m,193.97972069200023,202.5682268993828
300,square,True,m,197.1845955279996,
300,gabor,True,z,199.94223623699963,234.3100484196043
300,gabor,True,z,202.03340246500102,128.4245351509442
-300,gabor,True,m,204.00695195299977,147.02775816554865
-300,gabor,True,m,206.0070859489997,262.6674010315787
300,gabor,True,z,208.25503667700013,71.24796381524627
300,gabor,True,z,210.2898096710005,118.10837410396098
300,square,True,m,212.44673610700102,
-300,square,True,z,214.50377089000085,
-300,gabor,True,m,216.5527466220001,295.2596284811243
-300,gabor,True,m,218.57736557999942,350.20700720217786
-300,gabor,True,m,220.55131679399983,258.5885467126544
